Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,borderleaf1-DC1,Ethernet3,,spine,spine1-DC1,Ethernet6,
l3leaf,borderleaf1-DC1,Ethernet4,,spine,spine2-DC1,Ethernet6,
l3leaf,borderleaf1-DC1,Ethernet5,,spine,spine3-DC1,Ethernet6,
l3leaf,borderleaf1-DC1,Ethernet12,172.31.252.0/31,super-spine,DCI,Ethernet1,172.31.252.1/31
l3leaf,borderleaf1-DC2,Ethernet3,,spine,spine1-DC2,Ethernet6,
l3leaf,borderleaf1-DC2,Ethernet4,,spine,spine2-DC2,Ethernet6,
l3leaf,borderleaf1-DC2,Ethernet5,,spine,spine3-DC2,Ethernet6,
l3leaf,borderleaf1-DC2,Ethernet12,172.31.252.4/31,super-spine,DCI,Ethernet3,172.31.252.5/31
l3leaf,borderleaf2-DC1,Ethernet3,,spine,spine1-DC1,Ethernet7,
l3leaf,borderleaf2-DC1,Ethernet4,,spine,spine2-DC1,Ethernet7,
l3leaf,borderleaf2-DC1,Ethernet5,,spine,spine3-DC1,Ethernet7,
l3leaf,borderleaf2-DC1,Ethernet12,172.31.252.2/31,super-spine,DCI,Ethernet2,172.31.252.3/31
l3leaf,borderleaf2-DC2,Ethernet3,,spine,spine1-DC2,Ethernet7,
l3leaf,borderleaf2-DC2,Ethernet4,,spine,spine2-DC2,Ethernet7,
l3leaf,borderleaf2-DC2,Ethernet5,,spine,spine3-DC2,Ethernet7,
l3leaf,borderleaf2-DC2,Ethernet12,172.31.252.6/31,super-spine,DCI,Ethernet4,172.31.252.7/31
l3leaf,leaf1-DC1,Ethernet3,,spine,spine1-DC1,Ethernet2,
l3leaf,leaf1-DC1,Ethernet4,,spine,spine2-DC1,Ethernet2,
l3leaf,leaf1-DC1,Ethernet5,,spine,spine3-DC1,Ethernet2,
l3leaf,leaf1-DC2,Ethernet3,,spine,spine1-DC2,Ethernet2,
l3leaf,leaf1-DC2,Ethernet4,,spine,spine2-DC2,Ethernet2,
l3leaf,leaf1-DC2,Ethernet5,,spine,spine3-DC2,Ethernet2,
l3leaf,leaf2-DC1,Ethernet3,,spine,spine1-DC1,Ethernet3,
l3leaf,leaf2-DC1,Ethernet4,,spine,spine2-DC1,Ethernet3,
l3leaf,leaf2-DC1,Ethernet5,,spine,spine3-DC1,Ethernet3,
l3leaf,leaf2-DC2,Ethernet3,,spine,spine1-DC2,Ethernet3,
l3leaf,leaf2-DC2,Ethernet4,,spine,spine2-DC2,Ethernet3,
l3leaf,leaf2-DC2,Ethernet5,,spine,spine3-DC2,Ethernet3,
l3leaf,leaf3-DC1,Ethernet3,,spine,spine1-DC1,Ethernet4,
l3leaf,leaf3-DC1,Ethernet4,,spine,spine2-DC1,Ethernet4,
l3leaf,leaf3-DC1,Ethernet5,,spine,spine3-DC1,Ethernet4,
l3leaf,leaf3-DC2,Ethernet3,,spine,spine1-DC2,Ethernet4,
l3leaf,leaf3-DC2,Ethernet4,,spine,spine2-DC2,Ethernet4,
l3leaf,leaf3-DC2,Ethernet5,,spine,spine3-DC2,Ethernet4,
l3leaf,leaf4-DC1,Ethernet3,,spine,spine1-DC1,Ethernet5,
l3leaf,leaf4-DC1,Ethernet4,,spine,spine2-DC1,Ethernet5,
l3leaf,leaf4-DC1,Ethernet5,,spine,spine3-DC1,Ethernet5,
l3leaf,leaf4-DC2,Ethernet3,,spine,spine1-DC2,Ethernet5,
l3leaf,leaf4-DC2,Ethernet4,,spine,spine2-DC2,Ethernet5,
l3leaf,leaf4-DC2,Ethernet5,,spine,spine3-DC2,Ethernet5,
